,A/WUHAN/359/1995,A/WUHAN/359/1995,A/SYDNEY/5/1997,A/SYDNEY/5/1997,A/MOSCOW/10/1999,A/MOSCOW/10/1999,A/FUJIAN/411/2002,A/FUJIAN/411/2002,A/WISCONSIN/67/2005,A/WISCONSIN/67/2005,A/BRISBANE/10/2007,A/BRISBANE/10/2007,A/PERTH/16/2009,A/PERTH/16/2009,A/VICTORIA/361/2011,A/VICTORIA/361/2011,A/SWINE/TEXAS/4199-1/1998,A/SWINE/TEXAS/4199-1/1998,A/SWINE/COLORADO/23619/1999,A/SWINE/COLORADO/23619/1999,A/SWINE/MINNESOTA/1146/2006,A/SWINE/MINNESOTA/1146/2006,A/SWINE/IOWA/1700/2007,A/SWINE/IOWA/1700/2007,A/SWINE/MINNESOTA/2782/2009,A/SWINE/MINNESOTA/2782/2009,A/SWINE/ILLINOIS/2970/2009,A/SWINE/ILLINOIS/2970/2009,A/INDIANA/8/2011,A/INDIANA/8/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A01202866/2011,A/SWINE/INDIANA/A01202866/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01280592/2013,A/SWINE/MINNESOTA/A01280592/2013,A/TURKEY/OHIO/313053/2004,A/TURKEY/OHIO/313053/2004,A/SWINE/IOWA/A01480656/2014,A/SWINE/IOWA/A01480656/2014,A/SWINE/WYOMING/A01444562/2013,A/SWINE/WYOMING/A01444562/2013,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/MISSOURI/A01410819/2014,A/SWINE/MISSOURI/A01410819/2014
A/SWINE/INDIANA/A01260591/2014,<10,<10,<10,<10,*,*,<10,<10,<10,<10,160,160,*,*,40,80,40,*,<10,10,1280,640,*,*,640,320,*,*,160,80,320,160,*,*,80,80,*,*,*,*,*,*,40,20,40,40,80,40,*,*,*,*,320,160,40,40,80,40,*,*,*,*
A/SWINE/CALIFORNIA/A01459016/2015,<10,<10,<10,<10,*,*,<10,10,<10,<10,80,160,*,*,40,80,40,*,20,10,1280,640,*,*,320,320,*,*,160,80,640,320,*,*,160,160,*,*,*,*,*,*,80,20,40,80,80,40,*,*,*,*,320,80,40,40,40,40,*,*,*,*
A/SWINE/MINNESOTA/A01847477/2015,<10,<10,<10,<10,*,*,<10,<10,<10,<10,80,80,*,*,40,40,40,*,20,10,320,160,*,*,160,160,*,*,80,80,320,160,*,*,80,80,*,*,*,*,*,*,40,20,40,40,80,40,*,*,*,*,160,80,40,40,40,40,*,*,*,*
A/SWINE/ILLINOIS/A02076652/2015,10,10,<10,<10,*,*,<10,10,<10,<10,40,40,*,*,10,40,40,*,20,20,1280,320,*,*,160,160,*,*,80,40,320,160,*,*,80,80,*,*,*,*,*,*,20,20,40,80,80,40,*,*,*,*,80,<10,20,20,40,40,*,*,*,*
A/SWINE/IOWA/A01733626/2016,20,10,<10,<10,*,*,<10,10,<10,<10,160,80,*,*,10,80,320,*,80,<10,2560,160,*,*,80,160,*,*,160,80,320,320,*,*,40,40,*,*,*,*,*,*,80,40,160,320,40,160,*,*,*,*,20,<10,80,40,160,160,*,*,*,*
A/SWINE/MINNESOTA/A01365586/2013,20,80,<10,<10,*,*,40,40,<10,<10,40,80,*,*,40,40,80,*,320,320,320,80,*,*,80,80,*,*,<10,<10,40,10,*,*,160,160,*,*,*,*,*,*,40,20,20,20,320,80,*,*,*,*,320,20,40,80,80,80,*,*,*,*
A/SWINE/IOWA/A01432770/2013,<10,<10,<10,<10,*,*,<10,10,<10,<10,80,160,*,*,40,80,20,*,<10,20,640,320,*,*,320,160,*,*,80,80,640,320,*,*,160,160,*,*,*,*,*,*,40,40,80,80,80,80,*,*,*,*,20,10,40,40,80,40,*,*,*,*
A/SWINE/ILLINOIS/A01728585/2015,40,80,40,40,*,*,<10,20,<10,<10,<10,<10,*,*,<10,<10,160,*,<10,<10,80,20,*,*,20,40,*,*,10,10,20,40,*,*,20,40,*,*,*,*,*,*,10,10,10,160,320,320,*,*,*,*,20,<10,320,640,320,640,*,*,*,*
A/SWINE/ILLINOIS/A01462475/2015,80,80,80,80,*,*,<10,20,<10,<10,<10,<10,*,*,<10,<10,160,*,<10,10,160,40,*,*,80,40,*,*,20,<10,80,40,*,*,40,40,*,*,*,*,*,*,20,<10,20,80,320,320,*,*,*,*,40,<10,320,640,160,1280,*,*,*,*
A/SWINE/INDIANA/A01812162/2016,10,40,20,<10,*,*,20,10,<10,<10,20,40,*,*,20,20,160,*,40,80,320,40,*,*,80,80,*,*,<10,<10,40,10,*,*,80,80,*,*,*,*,*,*,20,10,20,40,80,40,*,*,*,*,160,10,20,40,40,80,*,*,*,*
A/SWINE/ILLINOIS/A01475803/2014,20,40,40,<10,*,*,10,40,<10,20,10,10,*,*,20,20,80,*,80,160,40,40,*,*,80,40,*,*,10,10,40,40,*,*,320,160,*,*,*,*,*,*,10,<10,40,80,160,80,*,*,*,*,20,20,80,160,80,320,*,*,*,*
A/SWINE/INDIANA/A01729045/2016,40,80,40,<10,*,*,10,20,10,20,40,160,*,*,80,80,160,*,320,320,80,80,*,*,80,40,*,*,10,<10,80,40,*,*,320,320,*,*,*,*,*,*,40,20,40,160,80,80,*,*,*,*,160,20,40,160,160,320,*,*,*,*
A/SWINE/MINNESOTA/A01480518/2014,10,<10,<10,<10,*,*,<10,<10,<10,<10,160,40,*,*,10,40,160,*,10,10,1280,320,*,*,80,80,*,*,80,80,320,160,*,*,20,40,*,*,*,*,*,*,40,20,40,320,80,160,*,*,*,*,10,<10,80,40,80,160,*,*,*,*
A/SWINE/NORTH CAROLINA/A01476722/2014,40,80,80,80,*,*,<10,20,<10,<10,10,<10,*,*,<10,10,160,*,20,20,1280,320,*,*,80,80,*,*,40,40,320,80,*,*,160,80,*,*,*,*,*,*,40,10,80,80,640,640,*,*,*,*,80,40,320,1280,640,2560,*,*,*,*
A/SWINE/INDIANA/A01260268/2013,80,160,40,20,*,*,<10,20,<10,<10,<10,<10,*,*,<10,<10,320,*,<10,<10,320,160,*,*,320,160,*,*,40,10,80,80,*,*,20,40,*,*,*,*,*,*,20,<10,40,80,320,320,*,*,*,*,20,<10,1280,1280,320,2560,*,*,*,*
A/SWINE/MINNESOTA/A01049936/2011,<10,20,<10,<10,*,*,<10,<10,<10,<10,<10,<10,*,*,<10,<10,40,*,<10,<10,640,160,*,*,80,80,*,*,40,40,80,80,*,*,320,160,*,*,*,*,*,*,10,<10,40,40,320,160,*,*,*,*,160,40,160,320,80,640,*,*,*,*
A/SWINE/NEBRASKA/A01567651/2015,20,10,<10,<10,*,*,<10,<10,<10,<10,80,40,*,*,10,40,160,*,<10,<10,640,160,*,*,80,160,*,*,80,80,320,160,*,*,20,40,*,*,*,*,*,*,40,20,80,320,80,160,*,*,*,*,20,<10,80,40,80,160,*,*,*,*
A/SWINE/MINNESOTA/A01277201/2012,20,40,20,20,*,*,<10,20,<10,<10,<10,<10,*,*,<10,<10,40,*,40,40,640,160,*,*,80,80,*,*,20,40,80,80,*,*,80,80,*,*,*,*,*,*,<10,<10,40,80,320,320,*,*,*,*,10,<10,160,320,160,640,*,*,*,*
A/SWINE/MISSOURI/A01410819/2014,40,20,20,40,10,10,640,640,80,*,320,640,320,640,80,80,80,*,*,*,40,640,320,80,20,160,*,*,10,10,40,10,10,40,<10,20,<10,10,40,320,10,<10,80,20,<10,40,160,160,160,160,80,40,*,*,*,*,*,*,10,10,2560,5120
A/SWINE/MISSOURI/A01476459/2012,20,20,20,20,40,20,40,80,160,160,640,640,640,640,1280,1280,*,*,320,320,40,160,160,80,20,20,<10,<10,10,10,20,10,<10,20,20,10,<10,<10,40,80,<10,<10,20,40,<10,20,20,20,160,80,20,40,*,*,*,*,*,*,<10,<10,80,5120
A/SWINE/NORTH CAROLINA/A01730588/2016,<10,<10,<10,<10,*,*,<10,<10,*,*,<10,<10,*,*,<10,40,80,*,<10,<10,1280,1280,*,*,640,640,*,*,320,320,640,1280,*,*,80,80,*,*,*,*,*,*,80,20,160,80,20,40,*,*,*,*,320,20,40,80,40,80,*,*,*,*
A/SWINE/IOWA/A01730108/2016,20,40,40,<10,*,*,10,10,*,*,<10,160,*,*,40,40,160,*,160,160,80,40,*,*,40,40,*,*,<10,<10,40,10,*,*,320,160,*,*,*,*,*,*,40,10,40,80,80,80,*,*,*,*,160,10,40,160,80,160,*,*,*,*
A/SWINE/MINNESOTA/A01471950/2015,10,20,<10,<10,*,*,<10,10,*,*,<10,<10,*,*,<10,<10,40,*,<10,10,640,160,*,*,80,80,*,*,80,40,160,160,*,*,20,80,*,*,*,*,*,*,20,<10,<10,80,160,80,*,*,*,*,10,<10,160,320,160,320,*,*,*,*
A/SWINE/OKLAHOMA/A01776961/2016,<10,10,<10,<10,*,*,<10,<10,*,*,<10,<10,*,*,<10,20,80,*,<10,<10,1280,1280,*,*,320,320,*,*,160,160,640,640,*,*,20,40,*,*,*,*,*,*,20,20,160,320,40,160,*,*,*,*,10,<10,80,80,80,80,*,*,*,*
A/SWINE/NORTH CAROLINA/A01732564/2016,20,20,20,<10,*,*,20,20,*,*,<10,80,*,*,40,40,160,*,160,160,80,40,*,*,40,80,*,*,<10,<10,40,<10,*,*,320,160,*,*,*,*,*,*,40,<10,40,80,40,40,*,*,*,*,160,10,20,80,80,80,*,*,*,*
A/SWINE/IOWA/A01729543/2016,40,80,40,<10,*,*,<10,10,*,*,<10,<10,*,*,<10,<10,320,*,10,20,640,160,*,*,80,320,*,*,80,40,320,40,*,*,20,20,*,*,*,*,*,*,40,20,10,320,320,160,*,*,*,*,80,<10,320,640,320,2560,*,*,*,*
A/SWINE/NEBRASKA/A01478775/2015,80,80,40,20,*,*,<10,20,*,*,<10,<10,*,*,<10,<10,320,*,10,20,640,160,*,*,160,320,*,*,80,40,320,320,*,*,20,40,*,*,*,*,*,*,20,10,10,320,640,320,*,*,*,*,80,10,640,640,320,2560,*,*,*,*
A/SWINE/ILLINOIS/A01555638/2015,<10,10,<10,<10,*,*,<10,<10,*,*,<10,10,*,*,<10,40,80,*,<10,<10,640,320,*,*,640,640,*,*,160,80,320,640,*,*,40,20,*,*,*,*,*,*,20,20,20,80,10,80,*,*,*,*,40,<10,80,80,40,40,*,*,*,*
